Brand,Name,Location,Rating,Number of Ratings,Price
Tenute Ca' Botta,"Tenute Ca' Botta
Alta Valpolicella Superiore 2018","Valpolicella, Italy",4.3,200 ratings,21.99
Bodegas Loli Casado,"Bodegas Loli Casado
Jaun de Alzate Reserva 2015","Rioja Alavesa, Spain",4.3,87 ratings,21.99
Nativ,"Nativ
Suadens Campania Rosso 2020","Campania, Italy",4.2,218 ratings,21.99
El Enemigo,"El Enemigo
El Barranco Single Vineyard Bonarda 2018","Mendoza, Argentina",4.2,90 ratings,21.99
El Enemigo,"El Enemigo
La Esperanza Single Vineyard Bonarda 2018","Mendoza, Argentina",4.1,288 ratings,21.99
The Herdsman,"The Herdsman
Cab 2020","Dunnigan Hills, United States",4.0,282 ratings,21.99
Caymus,"Caymus
Special Selection Cabernet Sauvignon 2018","Napa Valley, United States",4.7,104 ratings,220
Cellier des Chartreux,"Cellier des Chartreux
Chapelle Saint-Martin Reserve Côtes-du-Rhône 2020","Côtes-du-Rhône, France",4.2,108 ratings,14.99
Lyeth,"Lyeth
California Red 2019","California, United States",3.8,188 ratings,14.99
Frei Brothers,"Frei Brothers
Merlot 2019","Dry Creek Valley, United States",3.8,171 ratings,14.99
Arch Rival,"Arch Rival
Cabernet Sauvignon 2019","California, United States",3.8,94 ratings,14.99
Antinori,"Antinori
Tenuta Guado al Tasso Cont'Ugo Bolgheri 2018","Bolgheri, Italy",4.3,1251 ratings,44.99
Antinori,"Antinori
Tenuta Guado al Tasso Cont'Ugo Bolgheri 2017","Bolgheri, Italy",4.2,950 ratings,44.99
De Stefani,"De Stefani
Malanotte del Piave 2016","Piave Malanotte, Italy",4.4,64 ratings,64.99
Sena,"Sena
Aconcagua Valley 2017","Aconcagua Valley, Chile",4.4,742 ratings,116.99
Rhys Vineyards,"Rhys Vineyards
Alesia Santa Cruz Mountains Pinot Noir 2017","Santa Cruz Mountains, United States",4.1,53 ratings,42.99
Ghost Pines,"Ghost Pines
Cabernet Sauvignon 2019","North Coast, United States",4.0,164 ratings,17.99
Almaviva,"Almaviva
EPU 2019","Puente Alto, Chile",4.2,395 ratings,54.99
Sena,"Sena
Aconcagua Valley 2014","Aconcagua Valley, Chile",4.4,1009 ratings,110
